,isProps,link,startTime,home,away,period,betType,price,points,designation,live
5766,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 6.5,18.73,6.5,over,False
5897,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 1.5,1.45,1.5,over,False
6028,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Goals Over/Under 0.5,7.0,0.5,over,False
6159,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Goals Over/Under 1.5,28.0,1.5,over,False
6290,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Goals Over/Under 2.5,140.0,2.5,over,False
6421,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Assists Over/Under 0.5,4.0,0.5,over,False
6552,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Assists Over/Under 1.5,20.0,1.5,over,False
6683,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Points Over/Under 0.5,2.11,0.5,over,False
6814,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Points Over/Under 1.5,7.57,1.5,over,False
6945,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Points Over/Under 2.5,25.0,2.5,over,False
7076,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Points Over/Under 3.5,60.0,3.5,over,False
7207,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Points Over/Under 4.5,151.0,4.5,over,False
7338,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 2.5,2.3,2.5,over,False
7469,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 3.5,3.46,3.5,over,False
7600,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 4.5,6.22,4.5,over,False
7731,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 5.5,11.14,5.5,over,False
7862,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 6.5,18.73,6.5,over,False
7993,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Nicholas Paul Total Shots on goal Over/Under 1.5,1.45,1.5,over,False
8124,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Goals Over/Under 0.5,5.5,0.5,over,False
8255,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Goals Over/Under 1.5,22.0,1.5,over,False
8386,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Goals Over/Under 2.5,110.0,2.5,over,False
8517,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Assists Over/Under 0.5,3.5,0.5,over,False
8648,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Assists Over/Under 1.5,18.0,1.5,over,False
8779,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Points Over/Under 0.5,1.83,0.5,over,False
8910,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Points Over/Under 1.5,6.44,1.5,over,False
9041,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Points Over/Under 2.5,20.0,2.5,over,False
9172,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Points Over/Under 3.5,50.0,3.5,over,False
9303,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Points Over/Under 4.5,126.0,4.5,over,False
9434,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 2.5,2.3,2.5,over,False
9565,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 3.5,3.46,3.5,over,False
9696,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 4.5,6.22,4.5,over,False
9827,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 5.5,11.14,5.5,over,False
9958,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 6.5,18.73,6.5,over,False
10089,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Connor Brown Total Shots on goal Over/Under 1.5,1.45,1.5,over,False
10220,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Goals Over/Under 0.5,3.0,0.5,over,False
10351,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Goals Over/Under 1.5,12.0,1.5,over,False
10482,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Goals Over/Under 2.5,60.0,2.5,over,False
10613,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Assists Over/Under 0.5,3.0,0.5,over,False
10744,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Assists Over/Under 1.5,15.0,1.5,over,False
10875,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Points Over/Under 0.5,1.92,0.5,over,False
11006,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Points Over/Under 1.5,5.39,1.5,over,False
11137,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Points Over/Under 2.5,15.0,2.5,over,False
11268,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Points Over/Under 3.5,40.0,3.5,over,False
11399,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Points Over/Under 4.5,101.0,4.5,over,False
11530,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 3.5,1.88,3.5,over,False
11661,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 4.5,2.07,4.5,over,False
11792,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Brady Tkachuk Total Shots on goal Over/Under 5.5,3.31,5.5,over,False
