,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
39,140,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,3.5,Total Made 3 Point Shots - James Harden,2021-03-21 00:00:00+00:00,1.54,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,James Harden,FG3M,James Harden,FG3M,3.0
40,141,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,3.5,Total Made 3 Point Shots - Joe Harris,2021-03-21 00:00:00+00:00,2.15,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Joe Harris,FG3M,Joe Harris,FG3M,3.0
41,142,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,3.5,Total Made 3 Point Shots - Joe Harris,2021-03-21 00:00:00+00:00,1.63,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Joe Harris,FG3M,Joe Harris,FG3M,3.0
42,225,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,17.0,Total Points - Darius Garland,2021-03-21 00:00:00+00:00,1.77,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Darius Garland,PTS,Darius Garland,PTS,15.0
43,226,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,17.0,Total Points - Darius Garland,2021-03-21 00:00:00+00:00,1.98,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Darius Garland,PTS,Darius Garland,PTS,15.0
44,227,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,12.0,Total Points - Chris Boucher,2021-03-21 00:00:00+00:00,1.85,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Chris Boucher,PTS,Chris Boucher,PTS,2.0
45,228,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,12.0,Total Points - Chris Boucher,2021-03-21 00:00:00+00:00,1.89,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Chris Boucher,PTS,Chris Boucher,PTS,2.0
46,229,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,23.5,Total Points - Collin Sexton,2021-03-21 00:00:00+00:00,1.66,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Collin Sexton,PTS,Collin Sexton,PTS,36.0
47,230,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,23.5,Total Points - Collin Sexton,2021-03-21 00:00:00+00:00,2.1,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Collin Sexton,PTS,Collin Sexton,PTS,36.0
48,231,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,18.0,Total Points - Fred VanVleet,2021-03-21 00:00:00+00:00,1.87,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Fred VanVleet,PTS,Fred VanVleet,PTS,23.0
