,Unnamed: 0,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,scrapeMergeDate,result,playerName,statName,name,Stat,Value
98,4280,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,EVEN,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Alex Len,2.0,14.5,over,False,False,2021-03-21 00:00:00+00:00,1,Alex Len,PR,Alex Len,PR,29.0
99,4281,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Alex Len,1.7692307692307692,14.5,under,False,False,2021-03-21 00:00:00+00:00,0,Alex Len,PR,Alex Len,PR,29.0
100,4282,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,+110,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - DeAndre Jordan,2.1,17.5,over,False,False,2021-03-21 00:00:00+00:00,0,DeAndre Jordan,PR,DeAndre Jordan,PR,17.0
101,4283,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-145,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - DeAndre Jordan,1.6896551724137931,17.5,under,False,False,2021-03-21 00:00:00+00:00,1,DeAndre Jordan,PR,DeAndre Jordan,PR,17.0
102,4284,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,EVEN,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Jeff Green,2.0,15.5,over,False,False,2021-03-21 00:00:00+00:00,0,Jeff Green,PR,Jeff Green,PR,5.0
103,4285,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-130,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Jeff Green,1.7692307692307692,15.5,under,False,False,2021-03-21 00:00:00+00:00,1,Jeff Green,PR,Jeff Green,PR,5.0
104,4286,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Rui Hachimura,1.869565217391304,20.5,over,False,False,2021-03-21 00:00:00+00:00,1,Rui Hachimura,PR,Rui Hachimura,PR,30.0
105,4287,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points and Rebounds - Rui Hachimura,1.869565217391304,20.5,under,False,False,2021-03-21 00:00:00+00:00,0,Rui Hachimura,PR,Rui Hachimura,PR,30.0
106,4288,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-120,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Bradley Beal,1.8333333333333333,9.5,over,False,False,2021-03-21 00:00:00+00:00,0,Bradley Beal,RA,Bradley Beal,RA,7.0
107,4289,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-110,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Bradley Beal,1.9090909090909087,9.5,under,False,False,2021-03-21 00:00:00+00:00,1,Bradley Beal,RA,Bradley Beal,RA,7.0
108,4290,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - James Harden,1.869565217391304,20.5,over,False,False,2021-03-21 00:00:00+00:00,0,James Harden,RA,James Harden,RA,13.0
109,4291,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - James Harden,1.869565217391304,20.5,under,False,False,2021-03-21 00:00:00+00:00,1,James Harden,RA,James Harden,RA,13.0
110,4292,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Kyrie Irving,1.869565217391304,11.5,over,False,False,2021-03-21 00:00:00+00:00,1,Kyrie Irving,RA,Kyrie Irving,RA,13.0
111,4293,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Kyrie Irving,1.869565217391304,11.5,under,False,False,2021-03-21 00:00:00+00:00,0,Kyrie Irving,RA,Kyrie Irving,RA,13.0
112,4294,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-105,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Russell Westbrook,1.9523809523809523,20.5,over,False,False,2021-03-21 00:00:00+00:00,1,Russell Westbrook,RA,Russell Westbrook,RA,26.0
113,4295,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-125,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Rebounds and Assists - Russell Westbrook,1.8,20.5,under,False,False,2021-03-21 00:00:00+00:00,0,Russell Westbrook,RA,Russell Westbrook,RA,26.0
114,4296,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-120,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Bradley Beal",1.8333333333333333,42.5,over,False,False,2021-03-21 00:00:00+00:00,0,Bradley Beal,PRA,Bradley Beal,PRA,24.0
115,4297,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-110,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - Bradley Beal",1.9090909090909087,42.5,under,False,False,2021-03-21 00:00:00+00:00,1,Bradley Beal,PRA,Bradley Beal,PRA,24.0
116,4298,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,-115,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,"Total Points, Rebounds and Assists - James Harden",1.869565217391304,50.5,over,False,False,2021-03-21 00:00:00+00:00,0,James Harden,PRA,James Harden,PRA,39.0
